"loc","variant","date.start","date.end","hosp.per100k"
"Eastern Cape","wt",2020-06-06,2020-08-15,64.329893466836
"Eastern Cape","beta",2020-08-16,2021-04-30,399.73028522665
"Eastern Cape","delta",2021-05-01,2021-10-15,142.380915206705
"Eastern Cape","omicron",2021-10-16,2022-03-04,88.6286559134338
"Free State","wt",2020-06-06,2020-10-31,241.180412576429
"Free State","beta",2020-11-01,2021-05-31,355.467512160321
"Free State","delta",2021-06-01,2021-09-30,284.367083237373
"Free State","omicron",2021-10-01,2022-03-04,172.504255462837
"Gauteng","wt",2020-06-06,2020-10-31,186.747398790797
"Gauteng","beta",2020-11-01,2021-05-15,267.538826636461
"Gauteng","delta",2021-05-16,2021-08-31,346.129427722444
"Gauteng","omicron",2021-09-01,2022-03-04,157.9850969764
"KwaZulu-Natal","wt",2020-06-06,2020-09-15,92.4698421112214
"KwaZulu-Natal","beta",2020-09-16,2021-05-15,338.335627879883
"KwaZulu-Natal","delta",2021-05-16,2021-09-30,174.690847425558
"KwaZulu-Natal","omicron",2021-10-01,2022-03-04,126.59129357328
"Limpopo","wt",2020-06-06,2020-10-31,28.4158149722595
"Limpopo","beta",2020-11-01,2021-05-15,130.612457760727
"Limpopo","delta",2021-05-16,2021-09-30,126.216364032665
"Limpopo","omicron",2021-10-01,2022-03-04,58.1521295814651
"Mpumalanga","wt",2020-06-06,2020-10-31,52.9595158036901
"Mpumalanga","beta",2020-11-01,2021-05-15,172.967694913121
"Mpumalanga","delta",2021-05-16,2021-09-30,166.173546504095
"Mpumalanga","omicron",2021-10-01,2022-03-04,82.3354972260494
"North West","wt",2020-06-06,2020-10-31,118.967212626268
"North West","beta",2020-11-01,2021-05-15,254.919099315647
"North West","delta",2021-05-16,2021-09-30,318.214324735049
"North West","omicron",2021-10-01,2022-03-04,109.580945380864
"Northern Cape","wt",2020-06-06,2020-10-31,148.828009099001
"Northern Cape","beta",2020-11-01,2021-05-15,241.716941944417
"Northern Cape","delta",2021-05-16,2021-09-30,363.327069528237
"Northern Cape","omicron",2021-10-01,2022-03-04,145.03016516665
"Western Cape","wt",2020-06-06,2020-09-15,205.544139683519
"Western Cape","beta",2020-09-16,2021-05-15,610.831948233501
"Western Cape","delta",2021-05-16,2021-09-30,531.78774893809
"Western Cape","omicron",2021-10-01,2022-03-04,248.777371793523
